,Graph,Labels
0,Graph with 662 nodes and 871 edges,True
1,Graph with 944 nodes and 1376 edges,True
2,Graph with 572 nodes and 718 edges,True
3,Graph with 922 nodes and 1232 edges,True
4,Graph with 144 nodes and 156 edges,True
5,Graph with 770 nodes and 1069 edges,True
6,Graph with 710 nodes and 898 edges,True
7,Graph with 348 nodes and 398 edges,True
8,Graph with 748 nodes and 922 edges,True
9,Graph with 120 nodes and 124 edges,True
10,Graph with 400 nodes and 476 edges,True
11,Graph with 268 nodes and 304 edges,True
12,Graph with 960 nodes and 1412 edges,True
13,Graph with 668 nodes and 840 edges,True
14,Graph with 752 nodes and 992 edges,True
15,Graph with 184 nodes and 195 edges,True
16,Graph with 984 nodes and 1471 edges,True
17,Graph with 224 nodes and 241 edges,True
18,Graph with 888 nodes and 1187 edges,True
19,Graph with 836 nodes and 1116 edges,True
20,Graph with 530 nodes and 617 edges,True
21,Graph with 688 nodes and 838 edges,True
22,Graph with 464 nodes and 582 edges,True
23,Graph with 576 nodes and 683 edges,True
24,Graph with 976 nodes and 1311 edges,True
25,Graph with 932 nodes and 1391 edges,True
26,Graph with 850 nodes and 1138 edges,True
27,Graph with 846 nodes and 1125 edges,True
28,Graph with 654 nodes and 828 edges,True
29,Graph with 664 nodes and 856 edges,True
30,Graph with 508 nodes and 634 edges,True
31,Graph with 916 nodes and 1312 edges,True
32,Graph with 718 nodes and 891 edges,True
33,Graph with 776 nodes and 1048 edges,True
34,Graph with 904 nodes and 1264 edges,True
35,Graph with 762 nodes and 1020 edges,True
36,Graph with 802 nodes and 1013 edges,True
37,Graph with 484 nodes and 598 edges,True
38,Graph with 876 nodes and 1184 edges,True
39,Graph with 496 nodes and 594 edges,True
40,Graph with 410 nodes and 484 edges,True
41,Graph with 150 nodes and 160 edges,True
42,Graph with 930 nodes and 1224 edges,True
43,Graph with 534 nodes and 681 edges,True
44,Graph with 958 nodes and 1282 edges,True
45,Graph with 768 nodes and 992 edges,True
46,Graph with 884 nodes and 1170 edges,True
47,Graph with 914 nodes and 1177 edges,True
48,Graph with 628 nodes and 805 edges,True
49,Graph with 424 nodes and 498 edges,True
50,Graph with 776 nodes and 989 edges,True
51,Graph with 912 nodes and 1287 edges,True
52,Graph with 994 nodes and 1218 edges,True
53,Graph with 830 nodes and 1085 edges,True
54,Graph with 950 nodes and 1328 edges,True
55,Graph with 756 nodes and 1013 edges,True
56,Graph with 428 nodes and 511 edges,True
57,Graph with 368 nodes and 426 edges,True
58,Graph with 680 nodes and 890 edges,True
