,Graph,Labels
0,Graph with 3522 nodes and 12275 edges,True
1,Graph with 1920 nodes and 3966 edges,True
2,Graph with 854 nodes and 1252 edges,True
3,Graph with 4402 nodes and 15572 edges,True
4,Graph with 4836 nodes and 13574 edges,True
5,Graph with 1572 nodes and 2325 edges,True
6,Graph with 3634 nodes and 10159 edges,True
7,Graph with 3516 nodes and 8601 edges,True
8,Graph with 3318 nodes and 9047 edges,True
9,Graph with 4932 nodes and 11195 edges,True
10,Graph with 2690 nodes and 7151 edges,True
11,Graph with 4478 nodes and 17348 edges,True
12,Graph with 1376 nodes and 2201 edges,True
13,Graph with 2488 nodes and 6261 edges,True
14,Graph with 3852 nodes and 14273 edges,True
15,Graph with 2966 nodes and 9452 edges,True
16,Graph with 2494 nodes and 6096 edges,True
17,Graph with 38 nodes and 38 edges,True
18,Graph with 4316 nodes and 16890 edges,True
19,Graph with 2880 nodes and 7413 edges,True
20,Graph with 2714 nodes and 5583 edges,True
21,Graph with 4304 nodes and 9831 edges,True
22,Graph with 4216 nodes and 9732 edges,True
23,Graph with 2304 nodes and 5892 edges,True
24,Graph with 3058 nodes and 6344 edges,True
25,Graph with 4822 nodes and 7740 edges,True
26,Graph with 2906 nodes and 5988 edges,True
27,Graph with 4274 nodes and 13918 edges,True
28,Graph with 2046 nodes and 4526 edges,True
29,Graph with 3600 nodes and 10156 edges,True
30,Graph with 1106 nodes and 1896 edges,True
31,Graph with 3792 nodes and 11349 edges,True
32,Graph with 3758 nodes and 13180 edges,True
33,Graph with 2734 nodes and 5787 edges,True
34,Graph with 4178 nodes and 12819 edges,True
35,Graph with 3596 nodes and 8013 edges,True
36,Graph with 4744 nodes and 9982 edges,True
37,Graph with 4602 nodes and 20072 edges,True
38,Graph with 3644 nodes and 8992 edges,True
39,Graph with 4960 nodes and 15789 edges,True
40,Graph with 3504 nodes and 10395 edges,True
41,Graph with 2344 nodes and 4724 edges,True
42,Graph with 3954 nodes and 11726 edges,True
43,Graph with 2060 nodes and 4444 edges,True
44,Graph with 3536 nodes and 6461 edges,True
45,Graph with 4194 nodes and 7913 edges,True
46,Graph with 2880 nodes and 6521 edges,True
47,Graph with 2408 nodes and 5878 edges,True
48,Graph with 4484 nodes and 9015 edges,True
49,Graph with 1774 nodes and 3609 edges,True
50,Graph with 1950 nodes and 3996 edges,True
51,Graph with 3682 nodes and 10919 edges,True
52,Graph with 956 nodes and 1544 edges,True
53,Graph with 4798 nodes and 12859 edges,True
54,Graph with 2140 nodes and 3240 edges,True
55,Graph with 3842 nodes and 14038 edges,True
56,Graph with 2300 nodes and 4684 edges,True
57,Graph with 3604 nodes and 10735 edges,True
58,Graph with 1860 nodes and 2973 edges,True
59,Graph with 1816 nodes and 3172 edges,True
60,Graph with 1586 nodes and 3172 edges,True
61,Graph with 3890 nodes and 8942 edges,True
62,Graph with 4762 nodes and 17138 edges,True
63,Graph with 4268 nodes and 12062 edges,True
64,Graph with 1438 nodes and 2626 edges,True
65,Graph with 3544 nodes and 6706 edges,True
66,Graph with 2256 nodes and 5649 edges,True
67,Graph with 556 nodes and 761 edges,True
68,Graph with 1848 nodes and 3199 edges,True
69,Graph with 4046 nodes and 9814 edges,True
70,Graph with 3902 nodes and 12743 edges,True
71,Graph with 3416 nodes and 9452 edges,True
72,Graph with 4706 nodes and 17154 edges,True
73,Graph with 2890 nodes and 6166 edges,True
74,Graph with 4894 nodes and 19136 edges,True
75,Graph with 1624 nodes and 3295 edges,True
76,Graph with 2926 nodes and 4832 edges,True
77,Graph with 4998 nodes and 17794 edges,True
78,Graph with 1058 nodes and 1665 edges,True
79,Graph with 3904 nodes and 10693 edges,True
80,Graph with 2532 nodes and 6969 edges,True
81,Graph with 2498 nodes and 6624 edges,True
82,Graph with 3938 nodes and 7648 edges,True
83,Graph with 1550 nodes and 2895 edges,True
84,Graph with 1472 nodes and 2787 edges,True
85,Graph with 2806 nodes and 4520 edges,True
86,Graph with 1970 nodes and 3555 edges,True
87,Graph with 4322 nodes and 15726 edges,True
88,Graph with 2384 nodes and 5980 edges,True
89,Graph with 608 nodes and 812 edges,False
90,Graph with 842 nodes and 996 edges,False
91,Graph with 3144 nodes and 4681 edges,False
92,Graph with 2520 nodes and 3121 edges,False
93,Graph with 1606 nodes and 1609 edges,False
94,Graph with 1948 nodes and 2898 edges,False
95,Graph with 1116 nodes and 1189 edges,False
96,Graph with 690 nodes and 973 edges,False
97,Graph with 4572 nodes and 6683 edges,False
98,Graph with 2290 nodes and 3211 edges,False
99,Graph with 856 nodes and 863 edges,False
100,Graph with 190 nodes and 208 edges,False
101,Graph with 3718 nodes and 4058 edges,False
102,Graph with 968 nodes and 968 edges,False
103,Graph with 940 nodes and 1594 edges,False
104,Graph with 3564 nodes and 5332 edges,False
105,Graph with 1100 nodes and 1506 edges,False
106,Graph with 374 nodes and 399 edges,False
107,Graph with 2218 nodes and 3749 edges,False
108,Graph with 400 nodes and 505 edges,False
109,Graph with 4146 nodes and 6873 edges,False
110,Graph with 48 nodes and 47 edges,False
111,Graph with 334 nodes and 333 edges,False
112,Graph with 558 nodes and 672 edges,False
113,Graph with 2814 nodes and 3349 edges,False
114,Graph with 1760 nodes and 2681 edges,False
115,Graph with 508 nodes and 694 edges,False
116,Graph with 3428 nodes and 4277 edges,False
117,Graph with 428 nodes and 465 edges,False
118,Graph with 1202 nodes and 1262 edges,False
119,Graph with 3684 nodes and 4546 edges,False
120,Graph with 1362 nodes and 1414 edges,False
121,Graph with 3458 nodes and 4175 edges,False
122,Graph with 608 nodes and 707 edges,False
123,Graph with 3082 nodes and 5160 edges,False
124,Graph with 2658 nodes and 4050 edges,False
125,Graph with 220 nodes and 247 edges,False
126,Graph with 270 nodes and 271 edges,False
127,Graph with 540 nodes and 555 edges,False
128,Graph with 762 nodes and 989 edges,False
