,Graph,Labels
0,Graph with 2350 nodes and 3800 edges,True
1,Graph with 2344 nodes and 4122 edges,True
2,Graph with 2362 nodes and 3968 edges,True
3,Graph with 2178 nodes and 3495 edges,True
4,Graph with 2326 nodes and 3795 edges,True
5,Graph with 1860 nodes and 3027 edges,True
6,Graph with 2028 nodes and 3316 edges,True
7,Graph with 1850 nodes and 2997 edges,True
8,Graph with 1616 nodes and 2586 edges,True
9,Graph with 1530 nodes and 2347 edges,True
10,Graph with 1744 nodes and 2832 edges,True
11,Graph with 1430 nodes and 2554 edges,True
12,Graph with 1420 nodes and 2509 edges,True
13,Graph with 1150 nodes and 1886 edges,True
14,Graph with 1184 nodes and 1808 edges,True
15,Graph with 1026 nodes and 1616 edges,True
16,Graph with 900 nodes and 1481 edges,True
17,Graph with 858 nodes and 1301 edges,True
18,Graph with 570 nodes and 892 edges,True
19,Graph with 556 nodes and 920 edges,True
20,Graph with 444 nodes and 631 edges,True
21,Graph with 472 nodes and 732 edges,True
22,Graph with 346 nodes and 437 edges,False
23,Graph with 790 nodes and 1160 edges,False
24,Graph with 728 nodes and 1068 edges,False
25,Graph with 854 nodes and 1327 edges,False
26,Graph with 1070 nodes and 1621 edges,False
27,Graph with 944 nodes and 1391 edges,False
28,Graph with 1476 nodes and 2116 edges,False
29,Graph with 1222 nodes and 1699 edges,False
30,Graph with 1260 nodes and 1927 edges,False
31,Graph with 1550 nodes and 2392 edges,False
32,Graph with 1772 nodes and 2865 edges,False
33,Graph with 2048 nodes and 3359 edges,False
34,Graph with 2058 nodes and 3394 edges,False
