,Graph,Labels
0,Graph with 3168 nodes and 5977 edges,True
1,Graph with 3144 nodes and 6172 edges,True
2,Graph with 1660 nodes and 2646 edges,True
3,Graph with 3184 nodes and 7051 edges,True
4,Graph with 3066 nodes and 7336 edges,True
5,Graph with 592 nodes and 755 edges,True
6,Graph with 1354 nodes and 2043 edges,True
7,Graph with 4992 nodes and 11503 edges,True
8,Graph with 4724 nodes and 7972 edges,True
9,Graph with 1450 nodes and 2392 edges,True
10,Graph with 3528 nodes and 7720 edges,True
11,Graph with 3278 nodes and 7471 edges,True
12,Graph with 1906 nodes and 3660 edges,True
13,Graph with 4576 nodes and 13426 edges,True
14,Graph with 616 nodes and 789 edges,True
15,Graph with 1798 nodes and 2341 edges,True
16,Graph with 3122 nodes and 6092 edges,True
17,Graph with 4234 nodes and 9170 edges,True
18,Graph with 926 nodes and 1281 edges,True
19,Graph with 1290 nodes and 2042 edges,True
20,Graph with 2086 nodes and 3659 edges,True
21,Graph with 3278 nodes and 6272 edges,True
22,Graph with 4660 nodes and 7377 edges,True
23,Graph with 2366 nodes and 4792 edges,True
24,Graph with 2128 nodes and 3487 edges,True
25,Graph with 4072 nodes and 8362 edges,True
26,Graph with 4664 nodes and 6901 edges,True
27,Graph with 4954 nodes and 11668 edges,True
28,Graph with 1046 nodes and 1492 edges,True
29,Graph with 1302 nodes and 1891 edges,True
30,Graph with 3010 nodes and 4902 edges,True
31,Graph with 4798 nodes and 13850 edges,True
32,Graph with 2836 nodes and 6000 edges,True
33,Graph with 2320 nodes and 3347 edges,True
34,Graph with 2584 nodes and 4711 edges,True
35,Graph with 4828 nodes and 13824 edges,True
36,Graph with 2798 nodes and 6516 edges,True
37,Graph with 2932 nodes and 5037 edges,True
38,Graph with 2102 nodes and 4051 edges,True
39,Graph with 4132 nodes and 10452 edges,True
40,Graph with 4608 nodes and 8811 edges,True
41,Graph with 3928 nodes and 6931 edges,True
42,Graph with 3256 nodes and 5938 edges,True
43,Graph with 608 nodes and 761 edges,True
44,Graph with 1476 nodes and 2320 edges,True
45,Graph with 1522 nodes and 2134 edges,True
46,Graph with 1066 nodes and 1603 edges,True
47,Graph with 4910 nodes and 14314 edges,True
48,Graph with 3434 nodes and 9194 edges,True
49,Graph with 3730 nodes and 8519 edges,True
50,Graph with 4780 nodes and 10720 edges,True
51,Graph with 4442 nodes and 11705 edges,True
52,Graph with 4298 nodes and 7797 edges,True
53,Graph with 1130 nodes and 1681 edges,True
54,Graph with 3334 nodes and 5580 edges,True
55,Graph with 2044 nodes and 3773 edges,True
56,Graph with 914 nodes and 1194 edges,True
57,Graph with 3914 nodes and 11223 edges,True
58,Graph with 4016 nodes and 9220 edges,True
59,Graph with 4594 nodes and 6091 edges,False
60,Graph with 4782 nodes and 4907 edges,False
61,Graph with 318 nodes and 354 edges,False
62,Graph with 1938 nodes and 2333 edges,False
63,Graph with 4628 nodes and 5442 edges,False
64,Graph with 704 nodes and 730 edges,False
65,Graph with 364 nodes and 364 edges,False
66,Graph with 4554 nodes and 5886 edges,False
67,Graph with 4964 nodes and 6492 edges,False
68,Graph with 4072 nodes and 4374 edges,False
69,Graph with 366 nodes and 398 edges,False
70,Graph with 618 nodes and 730 edges,False
71,Graph with 412 nodes and 423 edges,False
72,Graph with 458 nodes and 499 edges,False
73,Graph with 120 nodes and 125 edges,False
74,Graph with 494 nodes and 531 edges,False
75,Graph with 1290 nodes and 1559 edges,False
76,Graph with 580 nodes and 606 edges,False
77,Graph with 4684 nodes and 6513 edges,False
78,Graph with 1182 nodes and 1207 edges,False
79,Graph with 4164 nodes and 5480 edges,False
80,Graph with 2282 nodes and 2501 edges,False
81,Graph with 2006 nodes and 2726 edges,False
82,Graph with 300 nodes and 302 edges,False
83,Graph with 2988 nodes and 3315 edges,False
84,Graph with 1698 nodes and 2179 edges,False
85,Graph with 3632 nodes and 4470 edges,False
86,Graph with 368 nodes and 377 edges,False
87,Graph with 4692 nodes and 6789 edges,False
88,Graph with 4778 nodes and 6245 edges,False
89,Graph with 4542 nodes and 5793 edges,False
90,Graph with 2386 nodes and 2416 edges,False
91,Graph with 1512 nodes and 1526 edges,False
92,Graph with 490 nodes and 515 edges,False
93,Graph with 548 nodes and 549 edges,False
94,Graph with 762 nodes and 806 edges,False
95,Graph with 306 nodes and 334 edges,False
96,Graph with 242 nodes and 250 edges,False
97,Graph with 512 nodes and 550 edges,False
98,Graph with 946 nodes and 1179 edges,False
99,Graph with 492 nodes and 589 edges,False
100,Graph with 3576 nodes and 5644 edges,True
101,Graph with 872 nodes and 1079 edges,True
102,Graph with 4264 nodes and 10915 edges,True
103,Graph with 3518 nodes and 5132 edges,True
104,Graph with 2368 nodes and 4513 edges,True
105,Graph with 1924 nodes and 2886 edges,True
106,Graph with 2986 nodes and 5836 edges,True
107,Graph with 4372 nodes and 10010 edges,True
108,Graph with 2040 nodes and 3028 edges,True
109,Graph with 2074 nodes and 4231 edges,True
110,Graph with 416 nodes and 515 edges,True
111,Graph with 2528 nodes and 5192 edges,True
112,Graph with 1876 nodes and 3553 edges,True
113,Graph with 1744 nodes and 2484 edges,True
114,Graph with 4838 nodes and 13481 edges,True
115,Graph with 120 nodes and 126 edges,True
116,Graph with 2630 nodes and 5330 edges,True
117,Graph with 4558 nodes and 7731 edges,True
118,Graph with 4232 nodes and 10962 edges,True
119,Graph with 4004 nodes and 6570 edges,True
120,Graph with 1028 nodes and 1556 edges,True
121,Graph with 1864 nodes and 3578 edges,True
122,Graph with 3268 nodes and 7434 edges,True
123,Graph with 2744 nodes and 5830 edges,True
124,Graph with 1422 nodes and 2126 edges,True
125,Graph with 2868 nodes and 4574 edges,True
126,Graph with 1660 nodes and 2563 edges,True
127,Graph with 1988 nodes and 3610 edges,True
128,Graph with 2164 nodes and 3944 edges,True
129,Graph with 2642 nodes and 5310 edges,True
130,Graph with 570 nodes and 690 edges,True
131,Graph with 2242 nodes and 3670 edges,True
132,Graph with 880 nodes and 1129 edges,True
133,Graph with 4074 nodes and 11820 edges,True
134,Graph with 3082 nodes and 4377 edges,True
135,Graph with 3362 nodes and 7342 edges,True
136,Graph with 4868 nodes and 16363 edges,True
137,Graph with 4300 nodes and 7371 edges,True
138,Graph with 4072 nodes and 11577 edges,True
139,Graph with 4800 nodes and 9612 edges,True
140,Graph with 1314 nodes and 2046 edges,True
141,Graph with 2490 nodes and 5006 edges,True
142,Graph with 2170 nodes and 3909 edges,True
143,Graph with 4714 nodes and 11157 edges,True
144,Graph with 2976 nodes and 6999 edges,True
145,Graph with 4844 nodes and 11454 edges,True
146,Graph with 2422 nodes and 5023 edges,True
147,Graph with 1206 nodes and 1711 edges,True
148,Graph with 4102 nodes and 12309 edges,True
149,Graph with 3668 nodes and 9981 edges,True
150,Graph with 4576 nodes and 10431 edges,True
151,Graph with 638 nodes and 767 edges,True
152,Graph with 4718 nodes and 13171 edges,True
153,Graph with 4848 nodes and 12987 edges,True
154,Graph with 4580 nodes and 13910 edges,True
155,Graph with 2806 nodes and 5930 edges,True
156,Graph with 1748 nodes and 2979 edges,True
157,Graph with 4782 nodes and 11984 edges,True
158,Graph with 2880 nodes and 6531 edges,True
159,Graph with 4674 nodes and 7976 edges,True
160,Graph with 3546 nodes and 4907 edges,False
161,Graph with 694 nodes and 768 edges,False
162,Graph with 1682 nodes and 2096 edges,False
163,Graph with 1956 nodes and 2141 edges,False
164,Graph with 884 nodes and 977 edges,False
165,Graph with 368 nodes and 371 edges,False
166,Graph with 390 nodes and 389 edges,False
167,Graph with 4044 nodes and 5393 edges,False
168,Graph with 3440 nodes and 4247 edges,False
169,Graph with 1080 nodes and 1426 edges,False
170,Graph with 4856 nodes and 5622 edges,False
171,Graph with 1348 nodes and 1739 edges,False
172,Graph with 272 nodes and 292 edges,False
173,Graph with 222 nodes and 228 edges,False
174,Graph with 1102 nodes and 1459 edges,False
175,Graph with 3280 nodes and 3932 edges,False
176,Graph with 1516 nodes and 2070 edges,False
177,Graph with 2012 nodes and 2614 edges,False
178,Graph with 822 nodes and 982 edges,False
179,Graph with 824 nodes and 961 edges,False
180,Graph with 3316 nodes and 3892 edges,False
181,Graph with 3788 nodes and 4038 edges,False
182,Graph with 1614 nodes and 2144 edges,False
183,Graph with 160 nodes and 164 edges,False
184,Graph with 2036 nodes and 2707 edges,False
185,Graph with 238 nodes and 240 edges,False
186,Graph with 1816 nodes and 2107 edges,False
187,Graph with 1174 nodes and 1274 edges,False
188,Graph with 1134 nodes and 1203 edges,False
189,Graph with 1132 nodes and 1379 edges,False
190,Graph with 552 nodes and 671 edges,False
191,Graph with 4784 nodes and 5698 edges,False
192,Graph with 792 nodes and 930 edges,False
193,Graph with 976 nodes and 1344 edges,False
194,Graph with 4270 nodes and 4649 edges,False
195,Graph with 1266 nodes and 1386 edges,False
196,Graph with 888 nodes and 1034 edges,False
197,Graph with 594 nodes and 694 edges,False
198,Graph with 1882 nodes and 2324 edges,False
199,Graph with 1110 nodes and 1348 edges,False
200,Graph with 1290 nodes and 1990 edges,True
201,Graph with 3020 nodes and 6699 edges,True
202,Graph with 1698 nodes and 2826 edges,True
203,Graph with 2162 nodes and 4098 edges,True
204,Graph with 2610 nodes and 5819 edges,True
205,Graph with 4186 nodes and 6945 edges,True
206,Graph with 4984 nodes and 14699 edges,True
207,Graph with 982 nodes and 1331 edges,True
208,Graph with 4422 nodes and 6706 edges,True
209,Graph with 2878 nodes and 4366 edges,True
210,Graph with 3412 nodes and 7737 edges,True
211,Graph with 1230 nodes and 1762 edges,True
212,Graph with 1460 nodes and 2485 edges,True
213,Graph with 3094 nodes and 6916 edges,True
214,Graph with 1740 nodes and 2745 edges,True
215,Graph with 2864 nodes and 4321 edges,True
216,Graph with 2816 nodes and 4575 edges,True
217,Graph with 2818 nodes and 4543 edges,True
218,Graph with 2526 nodes and 4142 edges,True
219,Graph with 4688 nodes and 8686 edges,True
220,Graph with 2166 nodes and 4043 edges,True
221,Graph with 4244 nodes and 9704 edges,True
222,Graph with 2294 nodes and 3346 edges,True
223,Graph with 1116 nodes and 1471 edges,True
224,Graph with 2190 nodes and 3635 edges,True
